"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";1;0;0;0;0;0;0;0;0;0
"2";2;0;0;0;0;0;0;3;3;3
"3";3;0;0;0;0;0;0;0;0;0
"4";4;0;0;0;0;0;0;0;0;0
"5";5;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;6;6;6;6;6;6
"7";7;0;0;0;0;0;0;0;0;0
"8";8;0;0;0;0;0;0;0;2;2
"9";9;0;0;0;6;6;6;6;6;6
"10";10;0;0;0;0;0;0;0;0;0
"11";11;0;0;0;6;6;6;6;6;6
"12";12;0;0;7;7;7;7;7;7;7
"13";13;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;0;0;2;2
"16";16;0;0;0;0;0;0;0;0;0
"17";17;0;0;7;7;7;7;7;7;7
"18";18;0;0;0;6;6;6;6;6;6
"19";19;0;0;0;0;0;0;0;0;0
"20";20;0;0;0;0;0;0;0;0;1
"21";21;0;0;0;0;5;5;5;5;5
"22";22;0;0;0;0;0;0;0;0;0
"23";23;0;0;0;6;6;6;6;6;6
"24";24;0;0;0;0;0;0;0;0;1
"25";25;0;0;0;0;0;0;0;0;0
"26";26;0;0;0;6;6;6;6;6;6
"27";27;0;0;0;0;0;0;0;2;2
"28";28;0;0;0;0;0;0;0;0;0
"29";29;0;0;0;0;0;0;0;0;0
"30";30;0;0;0;0;0;0;4;4;4
"31";31;0;0;0;0;0;0;0;0;0
"32";32;0;0;0;6;6;6;6;6;6
"33";33;0;0;0;6;6;6;6;6;6
"34";34;0;0;0;0;5;5;5;5;5
"35";35;0;0;0;0;5;5;5;5;5
"36";36;0;0;0;0;0;0;0;2;2
"37";37;0;0;7;7;7;7;7;7;7
"38";38;0;0;0;0;0;0;0;0;0
"39";39;0;0;0;0;5;5;5;5;5
"40";40;0;0;0;0;0;0;0;0;1
"41";41;0;0;0;0;0;0;0;0;0
"42";42;0;0;0;0;0;0;0;0;0
"43";43;0;0;0;0;0;0;0;0;1
"44";44;0;0;7;7;7;7;7;7;7
"45";45;0;0;0;0;0;0;0;0;0
"46";46;0;0;0;0;0;0;0;0;1
"47";47;0;0;7;7;7;7;7;7;7
"48";48;0;0;0;0;0;0;0;0;0
"49";49;0;0;0;6;6;6;6;6;6
"50";50;0;0;0;0;0;0;3;3;3
"51";51;0;0;0;0;0;0;0;2;2
"52";52;0;0;0;0;0;0;0;2;2
"53";53;0;0;0;0;0;0;0;0;1
"54";54;0;0;0;0;0;0;3;3;3
"55";55;0;0;0;0;5;5;5;5;5
"56";56;0;0;0;0;0;0;4;4;4
"57";57;0;0;0;0;0;0;0;0;1
"58";58;0;0;0;0;0;0;4;4;4
"59";59;0;0;0;0;0;0;0;0;0
"60";60;0;0;0;0;0;0;3;3;3
"61";61;0;0;0;0;0;0;0;2;2
"62";62;0;0;0;0;0;0;4;4;4
"63";63;0;0;7;7;7;7;7;7;7
"64";64;0;0;0;0;5;5;5;5;5
"65";65;0;0;0;0;5;5;5;5;5
"66";66;0;0;0;0;0;0;0;0;0
"67";67;0;0;0;0;0;0;3;3;3
"68";68;0;0;0;0;0;0;4;4;4
"69";69;0;0;0;0;0;0;4;4;4
"70";70;0;0;0;0;5;5;5;5;5
"71";71;0;0;7;7;7;7;7;7;7
"72";72;0;0;0;0;0;0;3;3;3
"73";73;0;0;0;0;5;5;5;5;5
"74";74;0;0;0;6;6;6;6;6;6
"75";75;0;0;0;0;0;0;4;4;4
"76";76;0;0;0;0;0;0;0;0;0
"77";77;0;0;0;0;0;0;3;3;3
"78";78;0;0;7;7;7;7;7;7;7
"79";79;0;0;0;0;0;0;4;4;4
"80";80;0;0;0;0;0;0;3;3;3
"81";81;0;0;0;6;6;6;6;6;6
"82";82;0;0;0;0;5;5;5;5;5
"83";83;0;0;0;0;0;0;0;0;0
"84";84;0;0;0;0;0;0;4;4;4
"85";85;0;0;0;0;5;5;5;5;5
"86";86;0;0;0;0;0;0;0;0;0
"87";87;0;0;0;0;0;0;3;3;3
"88";88;0;0;0;0;0;0;3;3;3
"89";89;0;0;0;0;0;0;0;2;2
"90";90;0;0;0;0;0;0;4;4;4
"91";91;0;0;0;0;0;0;0;0;1
"92";92;0;0;7;7;7;7;7;7;7
"93";93;0;0;0;0;0;0;4;4;4
"94";94;0;0;0;0;0;0;3;3;3
"95";95;0;0;0;0;0;0;0;0;1
"96";96;0;0;0;0;0;0;0;0;1
"97";97;0;0;0;0;5;5;5;5;5
"98";98;0;0;0;0;0;0;4;4;4
"99";99;0;0;0;0;0;0;0;0;1
"100";100;0;0;0;0;0;0;3;3;3
"101";101;0;0;7;7;7;7;7;7;7
"102";102;0;0;0;0;0;0;0;0;0
"103";103;0;0;0;0;0;0;0;2;2
"104";104;0;0;0;0;0;0;0;0;0
"105";105;0;0;0;0;0;0;3;3;3
"106";106;0;0;0;0;0;0;0;0;0
"107";107;0;0;0;0;0;0;3;3;3
"108";108;0;0;0;0;0;0;4;4;4
"109";109;0;0;0;0;5;5;5;5;5
"110";110;0;0;0;0;0;0;3;3;3
"111";111;0;0;0;0;0;0;0;2;2
"112";112;0;0;0;0;0;0;0;2;2
"113";113;0;0;0;0;5;5;5;5;5
"114";114;0;0;7;7;7;7;7;7;7
"115";115;0;0;7;7;7;7;7;7;7
"116";116;0;0;7;7;7;7;7;7;7
"117";117;0;0;0;6;6;6;6;6;6
"118";118;0;0;7;7;7;7;7;7;7
"119";119;0;0;7;7;7;7;7;7;7
"120";120;0;0;0;0;0;0;0;0;0
"121";121;0;0;7;7;7;7;7;7;7
"122";122;0;0;0;0;0;0;0;2;2
"123";123;0;0;0;0;0;0;0;0;1
"124";124;0;0;7;7;7;7;7;7;7
"125";125;0;0;0;0;0;0;0;0;0
"126";126;0;0;0;0;0;0;0;0;0
"127";127;0;0;0;0;5;5;5;5;5
"128";128;0;0;0;0;0;0;0;2;2
"129";129;0;0;0;0;0;0;0;0;0
"130";130;0;0;0;0;0;0;0;2;2
"131";131;0;0;0;0;0;0;0;0;1
"132";132;0;0;0;0;0;0;0;0;0
"133";133;0;0;0;6;6;6;6;6;6
"134";134;0;0;0;0;0;0;0;2;2
"135";135;0;0;0;0;0;0;0;0;0
"136";136;0;0;7;7;7;7;7;7;7
"137";137;0;0;0;6;6;6;6;6;6
"138";138;0;0;0;0;0;0;3;3;3
"139";139;0;0;0;6;6;6;6;6;6
"140";140;0;0;0;0;5;5;5;5;5
"141";141;0;0;0;0;0;0;0;0;0
"142";142;0;0;0;6;6;6;6;6;6
"143";143;0;0;0;0;0;0;4;4;4
"144";144;0;0;0;0;0;0;0;0;1
"145";145;0;0;7;7;7;7;7;7;7
"146";146;0;0;0;0;0;0;0;0;0
"147";147;0;0;0;0;0;0;4;4;4
"148";148;0;0;0;0;0;0;0;0;0
"149";149;0;0;0;0;0;0;0;2;2
"150";150;0;0;0;0;0;0;3;3;3
"151";151;0;0;0;0;5;5;5;5;5
"152";152;0;0;0;0;0;0;4;4;4
